temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
82.0,18.516,20.49,21.758,21.509,2.86,2.75,2.679,713.0,0.0
84.0,18.512,20.532,21.628,21.449,2.86,2.747,2.686,696.0,0.0
86.0,18.512,20.469,21.631,21.39,2.86,2.751,2.686,708.0,0.0
88.0,18.555,20.557,21.501,21.344,2.858,2.746,2.693,680.0,0.0
90.0,18.621,20.493,21.396,21.297,2.854,2.749,2.699,692.0,0.0
92.0,18.642,20.472,21.333,21.252,2.853,2.751,2.703,693.0,0.0
94.0,18.533,20.451,21.378,21.211,2.859,2.752,2.7,695.0,0.0
96.0,18.533,20.409,21.315,21.17,2.859,2.754,2.704,702.0,0.0
98.0,18.576,20.322,21.273,21.125,2.856,2.759,2.706,721.0,0.0
100.0,18.551,20.343,21.164,21.087,2.858,2.758,2.712,711.0,0.0
102.0,18.618,20.192,21.122,21.039,2.854,2.766,2.714,747.0,0.0
104.0,18.723,20.234,21.055,21.0,2.848,2.764,2.718,732.0,0.0
106.0,18.702,20.258,21.013,20.966,2.849,2.763,2.721,723.0,0.0
108.0,18.744,20.195,20.95,20.931,2.847,2.766,2.724,736.0,0.0
110.0,18.677,20.237,21.016,20.902,2.851,2.764,2.72,722.0,0.0
112.0,18.786,20.195,21.062,20.873,2.845,2.766,2.718,730.0,0.0
114.0,18.74,20.15,20.953,20.843,2.847,2.769,2.724,739.0,0.0
116.0,18.761,20.129,20.953,20.813,2.846,2.77,2.724,742.0,0.0
118.0,18.719,20.108,20.932,20.785,2.848,2.771,2.725,745.0,0.0
120.0,18.719,20.087,20.802,20.758,2.848,2.772,2.732,747.0,0.0
122.0,18.786,20.153,20.802,20.739,2.845,2.768,2.732,728.0,0.0
124.0,18.786,20.111,20.848,20.719,2.845,2.771,2.73,737.0,0.0
126.0,18.74,20.111,20.76,20.7,2.847,2.771,2.735,734.0,0.0
128.0,18.719,20.111,20.827,20.683,2.848,2.771,2.731,732.0,0.0
130.0,18.719,20.111,20.894,20.668,2.848,2.771,2.727,731.0,0.0
132.0,18.828,20.132,20.785,20.656,2.842,2.77,2.733,723.0,0.0
134.0,18.807,20.111,20.764,20.644,2.844,2.771,2.734,727.0,0.0
136.0,18.786,20.002,20.806,20.623,2.845,2.777,2.732,754.0,0.0
138.0,18.698,20.002,20.76,20.605,2.85,2.777,2.735,752.0,0.0
140.0,18.698,20.069,20.848,20.594,2.85,2.773,2.73,733.0,0.0
142.0,18.656,20.006,20.806,20.578,2.852,2.777,2.732,748.0,0.0
144.0,18.656,19.96,20.785,20.561,2.852,2.779,2.733,758.0,0.0
146.0,18.59,19.96,20.676,20.545,2.856,2.779,2.739,756.0,0.0
148.0,18.698,19.939,20.634,20.528,2.85,2.78,2.742,760.0,0.0
150.0,18.761,19.96,20.613,20.516,2.846,2.779,2.743,753.0,0.0
152.0,18.761,19.939,20.7,20.502,2.846,2.78,2.738,757.0,0.0
154.0,18.803,20.048,20.592,20.499,2.844,2.774,2.744,727.0,0.0
156.0,18.87,20.094,20.529,20.501,2.84,2.772,2.748,714.0,0.0
158.0,18.761,19.964,20.662,20.491,2.846,2.779,2.74,748.0,0.0
160.0,18.803,19.939,20.616,20.48,2.844,2.78,2.743,753.0,0.0
162.0,18.782,19.96,20.529,20.472,2.845,2.779,2.748,746.0,0.0
164.0,18.803,19.939,20.507,20.463,2.844,2.78,2.749,750.0,0.0
166.0,18.824,19.918,20.42,20.453,2.843,2.782,2.754,755.0,0.0
168.0,18.846,19.939,20.529,20.445,2.841,2.78,2.748,748.0,0.0
170.0,18.846,19.897,20.507,20.435,2.841,2.783,2.749,758.0,0.0
172.0,18.888,19.939,20.595,20.43,2.839,2.78,2.744,746.0,0.0
174.0,18.888,20.006,20.574,20.43,2.839,2.777,2.745,727.0,0.0
176.0,18.888,19.897,20.532,20.422,2.839,2.783,2.747,755.0,0.0
178.0,18.821,19.939,20.465,20.417,2.843,2.78,2.751,743.0,0.0
180.0,18.888,20.027,20.465,20.421,2.839,2.775,2.751,719.0,1.0
182.0,18.912,19.985,20.511,20.421,2.838,2.778,2.749,730.0,1.0
184.0,18.891,19.985,20.532,20.42,2.839,2.778,2.747,729.0,1.0
186.0,18.87,19.964,20.444,20.418,2.84,2.779,2.752,734.0,1.0
188.0,18.87,19.855,20.444,20.407,2.84,2.785,2.752,761.0,1.0
190.0,18.782,19.918,20.465,20.403,2.845,2.782,2.751,744.0,1.0
192.0,18.782,19.964,20.402,20.402,2.845,2.779,2.755,731.0,1.0
194.0,18.87,19.855,20.49,20.393,2.84,2.785,2.75,759.0,1.0
196.0,18.824,19.876,20.444,20.386,2.843,2.784,2.752,752.0,1.0
198.0,18.803,19.855,20.553,20.378,2.844,2.785,2.746,757.0,1.0
200.0,18.891,19.834,20.465,20.369,2.839,2.786,2.751,761.0,1.0
202.0,18.824,19.943,20.465,20.37,2.843,2.78,2.751,732.0,1.0
204.0,18.803,19.901,20.49,20.368,2.844,2.783,2.75,742.0,1.0
206.0,18.824,19.834,20.49,20.36,2.843,2.786,2.75,759.0,1.0
208.0,18.824,19.855,20.49,20.354,2.843,2.785,2.75,753.0,1.0
210.0,18.824,19.834,20.49,20.348,2.843,2.786,2.75,757.0,1.0
212.0,18.846,19.855,20.402,20.344,2.841,2.785,2.755,751.0,1.0
