temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
308.0,1233.0,32.689,30.717,29.69,29.69,1.0
310.0,1258.0,32.762,30.624,29.598,29.686,1.0
312.0,1240.0,32.716,30.695,29.69,29.689,1.0
314.0,1235.0,32.762,30.717,29.642,29.693,1.0
316.0,1235.0,32.785,30.717,29.642,29.698,1.0
318.0,1230.0,32.666,30.74,29.757,29.703,1.0
320.0,1231.0,32.666,30.74,29.735,29.708,1.0
322.0,1250.0,32.762,30.669,29.735,29.707,1.0
324.0,1232.0,32.693,30.74,29.712,29.711,1.0
326.0,1251.0,32.716,30.669,29.642,29.709,1.0
328.0,1233.0,32.693,30.74,29.69,29.714,1.0
330.0,1252.0,32.739,30.669,29.642,29.712,1.0
332.0,1246.0,32.716,30.695,29.712,29.712,1.0
334.0,1247.0,32.62,30.695,29.712,29.712,1.0
336.0,1247.0,32.716,30.695,29.712,29.713,1.0
338.0,1266.0,32.643,30.624,29.712,29.707,1.0
340.0,1248.0,32.716,30.695,29.783,29.708,1.0
342.0,1248.0,32.785,30.695,29.712,29.708,1.0
344.0,1267.0,32.808,30.624,29.598,29.703,1.0
346.0,1249.0,32.904,30.695,29.646,29.704,1.0
348.0,1238.0,32.854,30.74,29.598,29.709,1.0
350.0,1238.0,32.877,30.74,29.598,29.714,1.0
352.0,1245.0,32.781,30.717,29.712,29.716,1.0
354.0,1246.0,32.877,30.717,29.69,29.717,1.0
356.0,1265.0,32.758,30.646,29.598,29.713,1.0
358.0,1252.0,32.808,30.695,29.646,29.713,1.0
360.0,1271.0,32.877,30.624,29.69,29.707,1.0
362.0,1259.0,32.854,30.672,29.668,29.706,1.0
364.0,1247.0,32.923,30.717,29.69,29.709,1.0
366.0,1242.0,32.97,30.74,29.712,29.714,1.0
368.0,1231.0,32.92,30.785,29.62,29.721,1.0
370.0,1256.0,32.896,30.691,29.735,29.72,1.0
372.0,1238.0,32.923,30.762,29.712,29.726,1.0
374.0,1252.0,32.97,30.714,29.664,29.726,1.0
376.0,1234.0,32.946,30.785,29.664,29.733,1.0
378.0,1247.0,32.97,30.736,29.709,29.735,1.0
380.0,1229.0,32.946,30.807,29.664,29.742,1.0
382.0,1224.0,32.85,30.83,29.779,29.751,1.0
384.0,1219.0,32.923,30.852,29.686,29.761,1.0
386.0,1220.0,32.804,30.852,29.709,29.77,1.0
388.0,1245.0,32.854,30.759,29.709,29.77,1.0
390.0,1257.0,32.762,30.714,29.779,29.766,1.0
392.0,1233.0,32.716,30.807,29.757,29.771,1.0
394.0,1222.0,32.808,30.852,29.709,29.779,1.0
396.0,1217.0,32.735,30.875,29.731,29.788,1.0
398.0,1224.0,32.712,30.852,29.731,29.794,1.0
400.0,1249.0,32.689,30.759,29.823,29.792,1.0
402.0,1231.0,32.62,30.83,29.801,29.796,1.0
404.0,1250.0,32.62,30.759,29.823,29.793,1.0
406.0,1261.0,32.716,30.714,29.709,29.787,1.0
408.0,1249.0,32.716,30.762,29.779,29.786,1.0
410.0,1243.0,32.808,30.785,29.709,29.787,1.0
412.0,1244.0,32.735,30.785,29.823,29.788,1.0
414.0,1238.0,32.808,30.807,29.823,29.79,1.0
416.0,1257.0,32.735,30.736,29.823,29.786,1.0
418.0,1233.0,32.808,30.83,29.801,29.791,1.0
420.0,1252.0,32.758,30.759,29.823,29.789,1.0
422.0,1264.0,32.831,30.714,29.801,29.783,1.0
424.0,1240.0,32.831,30.807,29.779,29.786,1.0
426.0,1240.0,32.9,30.807,29.731,29.789,1.0
428.0,1241.0,32.827,30.807,29.709,29.791,1.0
430.0,1241.0,32.9,30.807,29.801,29.793,1.0
432.0,1247.0,32.923,30.785,29.801,29.793,1.0
