temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE (0 - 1000)
602.0,19.841,20.409,20.897,21.078,2.786,2.754,2.727,419.0,0.0
604.0,19.862,20.476,20.809,21.086,2.785,2.75,2.732,419.0,0.0
606.0,19.862,20.409,20.809,21.088,2.785,2.754,2.732,419.0,0.0
608.0,19.883,20.43,20.897,21.092,2.783,2.753,2.727,419.0,0.0
610.0,19.904,20.43,20.918,21.095,2.782,2.753,2.726,419.0,0.0
612.0,19.925,20.539,20.918,21.108,2.781,2.747,2.726,419.0,0.0
614.0,20.034,20.451,20.939,21.111,2.775,2.752,2.725,419.0,0.0
616.0,19.988,20.56,20.981,21.124,2.778,2.746,2.722,422.0,0.0
618.0,19.988,20.493,20.981,21.129,2.778,2.749,2.722,422.0,0.0
620.0,20.076,20.493,20.915,21.134,2.773,2.749,2.726,422.0,0.0
622.0,19.988,20.581,21.002,21.147,2.778,2.745,2.721,422.0,0.0
624.0,20.097,20.514,20.915,21.152,2.772,2.748,2.726,422.0,0.0
626.0,20.03,20.536,21.002,21.158,2.775,2.747,2.721,422.0,0.0
628.0,20.139,20.536,20.957,21.164,2.769,2.747,2.724,422.0,0.0
630.0,20.051,20.536,20.978,21.17,2.774,2.747,2.723,422.0,0.0
632.0,20.073,20.536,20.957,21.174,2.773,2.747,2.724,422.0,0.0
634.0,20.16,20.557,20.978,21.181,2.768,2.746,2.723,422.0,0.0
636.0,20.094,20.578,20.999,21.188,2.772,2.745,2.721,426.0,0.0
638.0,20.115,20.578,21.02,21.195,2.771,2.745,2.72,426.0,0.0
640.0,20.157,20.599,21.02,21.203,2.768,2.744,2.72,426.0,2.0
642.0,20.178,20.686,21.108,21.217,2.767,2.739,2.715,426.0,2.0
644.0,20.178,20.707,21.02,21.232,2.767,2.738,2.72,426.0,2.0
646.0,20.286,20.62,21.108,21.238,2.761,2.742,2.715,426.0,2.0
648.0,20.22,20.729,21.129,21.253,2.765,2.736,2.714,426.0,2.0
650.0,20.22,20.641,21.129,21.259,2.765,2.741,2.714,426.0,2.0
652.0,20.22,20.75,21.041,21.274,2.765,2.735,2.719,426.0,2.0
654.0,20.241,20.771,21.041,21.289,2.764,2.734,2.719,426.0,2.0
656.0,20.241,20.683,21.02,21.295,2.764,2.739,2.72,426.0,2.0
658.0,20.241,20.704,21.041,21.302,2.764,2.738,2.719,429.0,1.0
660.0,20.241,20.704,21.02,21.308,2.764,2.738,2.72,429.0,1.0
662.0,20.283,20.704,21.041,21.314,2.761,2.738,2.719,429.0,1.0
664.0,20.304,20.725,21.041,21.321,2.76,2.737,2.719,429.0,1.0
666.0,20.325,20.746,21.041,21.33,2.759,2.735,2.719,429.0,1.0
668.0,20.346,20.746,21.041,21.337,2.758,2.735,2.719,429.0,1.0
670.0,20.346,20.767,21.062,21.346,2.758,2.734,2.718,429.0,1.0
672.0,20.346,20.767,21.083,21.354,2.758,2.734,2.717,429.0,1.0
674.0,20.388,20.788,21.104,21.362,2.755,2.733,2.715,429.0,1.0
676.0,20.497,20.788,21.146,21.37,2.749,2.733,2.713,429.0,1.0
678.0,20.388,20.809,21.167,21.379,2.755,2.732,2.712,429.0,1.0
680.0,20.409,20.809,21.167,21.387,2.754,2.732,2.712,429.0,1.0
682.0,20.409,20.83,21.167,21.397,2.754,2.731,2.712,429.0,1.0
684.0,20.43,20.939,21.167,21.414,2.753,2.725,2.712,429.0,1.0
686.0,20.451,20.939,21.255,21.43,2.752,2.725,2.707,432.0,1.0
688.0,20.472,20.96,21.167,21.446,2.751,2.723,2.712,432.0,1.0
690.0,20.472,20.872,21.167,21.454,2.751,2.728,2.712,432.0,1.0
