temps,ACTU,MILIEU,LASER
67.33,30.13,27.20,26.12
67.48,30.13,27.20,26.12
67.63,30.13,27.29,26.12
67.78,30.13,27.29,26.12
67.93,30.23,27.29,26.12
68.08,30.23,27.29,26.12
68.23,30.23,27.29,26.21
68.38,30.23,27.29,26.12
68.53,30.23,27.29,26.12
68.68,30.23,27.29,26.12
68.83,30.23,27.29,26.12
68.98,30.23,27.29,26.12
69.13,30.23,27.29,26.12
69.28,30.23,27.29,26.12
69.43,30.23,27.29,26.21
69.58,30.32,27.38,26.21
69.73,30.23,27.38,26.21
69.88,30.32,27.38,26.21
70.03,30.32,27.38,26.21
70.18,30.32,27.38,26.21
70.33,30.32,27.38,26.21
70.48,30.32,27.38,26.12
70.63,30.32,27.38,26.21
70.78,30.32,27.38,26.21
70.93,30.32,27.38,26.21
71.08,30.41,27.47,26.21
71.23,30.41,27.38,26.21
71.38,30.41,27.38,26.21
71.53,30.41,27.38,26.21
71.68,30.41,27.47,26.21
71.83,30.41,27.47,26.21
71.98,30.41,27.47,26.21
72.13,30.41,27.47,26.21
72.28,30.41,27.47,26.21
72.43,30.51,27.47,26.21
72.58,30.41,27.47,26.30
72.73,30.51,27.47,26.21
72.88,30.51,27.47,26.30
73.03,30.51,27.56,26.30
73.18,30.51,27.47,26.30
73.33,30.51,27.56,26.30
73.48,30.51,27.56,26.30
73.63,30.51,27.56,26.30
73.78,30.60,27.56,26.30
73.93,30.51,27.56,26.30
74.08,30.60,27.56,26.30
74.23,30.51,27.56,26.30
74.38,30.60,27.56,26.30
74.53,30.60,27.56,26.30
74.68,30.60,27.56,26.30
74.83,30.60,27.65,26.30
74.98,30.60,27.65,26.30
75.13,30.60,27.56,26.39
75.28,30.60,27.65,26.30
75.43,30.60,27.65,26.30
75.58,30.69,27.65,26.30
75.72,30.69,27.65,26.39
75.88,30.69,27.65,26.39
76.02,30.69,27.65,26.39
76.18,30.69,27.65,26.39
76.32,30.69,27.65,26.39
76.47,30.69,27.65,26.48
76.62,30.69,27.74,26.39
76.77,30.69,27.65,26.39
76.93,30.69,27.65,26.39
77.07,30.79,27.65,26.39
77.22,30.79,27.65,26.39
77.37,30.79,27.74,26.48
77.53,30.79,27.65,26.39
77.68,30.79,27.74,26.39
77.82,30.79,27.74,26.48
77.97,30.79,27.74,26.39
78.12,30.79,27.74,26.39
78.27,30.88,27.74,26.48
78.43,30.79,27.84,26.48
78.57,30.88,27.74,26.39
78.72,30.79,27.74,26.48
78.87,30.88,27.74,26.48
79.02,30.88,27.84,26.48
79.17,30.88,27.84,26.48
79.32,30.88,27.84,26.48
79.47,30.88,27.84,26.48
79.62,30.88,27.84,26.48
79.77,30.88,27.84,26.48
79.93,30.88,27.84,26.48
80.07,30.97,27.84,26.48
80.22,30.88,27.84,26.48
80.37,30.88,27.84,26.48
80.52,30.97,27.84,26.48
80.67,30.97,27.93,26.57
80.82,30.97,27.93,26.57
80.97,30.97,27.93,26.48
81.12,30.97,27.93,26.57
81.27,30.97,27.93,26.48
81.42,31.07,27.93,26.57
81.57,30.97,27.84,26.57
81.72,30.97,27.93,26.57
81.87,30.97,27.93,26.57
82.02,31.07,27.93,26.57
82.17,31.07,27.93,26.57
82.32,30.97,27.93,26.57
82.47,31.07,27.93,26.57
82.62,31.07,27.93,26.57
82.77,31.07,27.93,26.57
82.92,31.07,27.93,26.57
83.07,31.07,28.02,26.57
83.22,31.07,27.93,26.57
83.37,31.07,28.02,26.66
83.52,31.07,28.02,26.57
83.67,31.07,28.02,26.66
83.82,31.07,28.02,26.57
83.97,31.07,28.02,26.66
84.12,31.07,28.02,26.66
84.27,31.07,28.02,26.66
84.42,31.07,28.02,26.66
84.57,31.16,28.02,26.66
84.72,31.16,28.02,26.57
84.87,31.16,28.11,26.66
85.02,31.07,28.11,26.66
85.17,31.16,28.11,26.66
85.32,31.16,28.11,26.66
85.47,31.16,28.11,26.66
85.62,31.16,28.11,26.66
85.77,31.16,28.11,26.66
85.92,31.26,28.11,26.66
86.07,31.16,28.11,26.75
86.22,31.26,28.11,26.75
86.37,31.16,28.11,26.66
86.52,31.26,28.11,26.75
86.67,31.26,28.11,26.66
86.82,31.26,28.11,26.75
86.97,31.26,28.20,26.75
87.12,31.26,28.20,26.75
87.27,31.26,28.11,26.75
87.42,31.26,28.11,26.75
87.57,31.26,28.20,26.75
87.72,31.26,28.20,26.75
87.87,31.26,28.20,26.84
88.02,31.35,28.20,26.75
88.17,31.26,28.20,26.75
88.32,31.26,28.20,26.75
88.47,31.26,28.20,26.75
88.62,31.35,28.20,26.75
88.77,31.26,28.20,26.75
88.92,31.26,28.20,26.84
89.07,31.35,28.20,26.75
89.22,31.26,28.20,26.84
89.37,31.26,28.29,26.84
89.52,31.26,28.29,26.84
89.67,31.35,28.29,26.84
89.82,31.26,28.20,26.84
