temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
426.0,33.181,30.927,29.961,29.79,2.066,2.182,2.233,1203.0,1.0
428.0,33.154,30.807,29.912,29.793,2.068,2.189,2.236,1235.0,1.0
430.0,33.039,30.833,29.938,29.797,2.074,2.187,2.234,1229.0,1.0
432.0,33.039,30.833,29.938,29.801,2.074,2.187,2.234,1230.0,1.0
434.0,33.112,30.833,29.938,29.804,2.07,2.187,2.234,1230.0,1.0
436.0,32.993,30.833,29.961,29.807,2.076,2.187,2.233,1231.0,1.0
438.0,33.112,30.717,29.868,29.8,2.07,2.193,2.238,1261.0,1.0
440.0,33.139,30.766,29.894,29.798,2.069,2.191,2.236,1249.0,1.0
442.0,33.089,30.789,29.846,29.798,2.071,2.19,2.239,1243.0,1.0
444.0,33.135,30.789,29.938,29.798,2.069,2.19,2.234,1243.0,1.0
446.0,33.158,30.811,29.987,29.8,2.068,2.188,2.232,1238.0,1.0
448.0,33.158,30.833,30.031,29.803,2.068,2.187,2.229,1232.0,1.0
450.0,33.085,30.74,29.938,29.798,2.071,2.192,2.234,1257.0,1.0
452.0,33.112,30.789,29.916,29.798,2.07,2.19,2.235,1245.0,1.0
454.0,33.158,30.811,29.894,29.8,2.068,2.188,2.236,1239.0,1.0
456.0,33.254,30.833,29.801,29.804,2.063,2.187,2.241,1234.0,1.0
458.0,33.158,30.833,29.894,29.807,2.068,2.187,2.236,1234.0,1.0
460.0,33.062,30.856,29.779,29.812,2.072,2.186,2.243,1229.0,1.0
462.0,33.181,30.811,29.872,29.812,2.066,2.188,2.238,1241.0,1.0
464.0,33.135,30.789,29.827,29.811,2.069,2.19,2.24,1247.0,1.0
466.0,32.993,30.766,29.805,29.807,2.076,2.191,2.241,1253.0,1.0
468.0,33.112,30.744,29.783,29.803,2.07,2.192,2.242,1259.0,1.0
470.0,33.254,30.744,29.827,29.798,2.063,2.192,2.24,1259.0,1.0
472.0,33.278,30.837,29.827,29.802,2.062,2.187,2.24,1235.0,1.0
474.0,33.177,30.766,29.872,29.8,2.067,2.191,2.238,1254.0,1.0
476.0,33.204,30.699,29.898,29.792,2.065,2.194,2.236,1272.0,1.0
478.0,33.278,30.792,29.805,29.793,2.062,2.189,2.241,1247.0,1.0
480.0,33.227,30.766,29.849,29.791,2.064,2.191,2.239,1254.0,1.0
482.0,33.274,30.744,29.805,29.788,2.062,2.192,2.241,1261.0,1.0
484.0,33.297,30.744,29.805,29.785,2.061,2.192,2.241,1261.0,1.0
486.0,33.343,30.766,29.805,29.784,2.058,2.191,2.241,1255.0,1.0
488.0,33.413,30.789,29.783,29.785,2.055,2.19,2.242,1250.0,1.0
490.0,33.39,30.905,29.849,29.796,2.056,2.183,2.239,1220.0,1.0
492.0,33.363,30.878,29.801,29.804,2.057,2.185,2.241,1228.0,1.0
494.0,33.436,30.878,29.872,29.811,2.053,2.185,2.238,1228.0,1.0
496.0,33.366,30.878,29.894,29.817,2.057,2.185,2.236,1229.0,1.0
498.0,33.247,30.83,29.938,29.819,2.063,2.187,2.234,1242.0,1.0
500.0,33.274,30.807,29.894,29.818,2.062,2.189,2.236,1248.0,1.0
502.0,33.274,30.923,29.872,29.828,2.062,2.183,2.238,1219.0,1.0
504.0,33.343,30.875,29.846,29.832,2.058,2.185,2.239,1232.0,1.0
506.0,33.251,30.968,29.801,29.844,2.063,2.18,2.241,1208.0,1.0
508.0,33.177,30.897,29.846,29.849,2.067,2.184,2.239,1228.0,1.0
510.0,33.085,30.852,29.916,29.849,2.071,2.186,2.235,1240.0,1.0
512.0,33.139,30.95,29.942,29.858,2.069,2.181,2.234,1215.0,1.0
514.0,33.085,30.923,29.938,29.863,2.071,2.183,2.234,1222.0,1.0
516.0,33.254,30.923,29.961,29.868,2.063,2.183,2.233,1223.0,1.0
518.0,33.135,30.946,29.983,29.875,2.069,2.181,2.232,1217.0,1.0
520.0,33.112,30.946,29.938,29.88,2.07,2.181,2.234,1218.0,1.0
522.0,33.089,30.878,29.894,29.88,2.071,2.185,2.236,1236.0,1.0
524.0,33.043,30.927,29.872,29.884,2.073,2.182,2.238,1224.0,1.0
526.0,32.993,30.856,29.964,29.881,2.076,2.186,2.233,1242.0,1.0
528.0,33.043,30.789,29.898,29.873,2.073,2.19,2.236,1260.0,1.0
530.0,33.139,30.721,29.831,29.86,2.069,2.193,2.24,1277.0,1.0
532.0,33.235,30.792,29.831,29.854,2.064,2.189,2.24,1258.0,1.0
534.0,33.278,30.766,29.783,29.846,2.062,2.191,2.242,1265.0,1.0
536.0,33.324,30.837,29.875,29.846,2.059,2.187,2.237,1246.0,1.0
538.0,33.366,30.882,29.805,29.849,2.057,2.185,2.241,1235.0,1.0
540.0,33.436,30.811,29.827,29.846,2.053,2.188,2.24,1254.0,1.0
542.0,33.366,30.837,29.875,29.845,2.057,2.187,2.237,1247.0,1.0
544.0,33.39,30.766,29.898,29.839,2.056,2.191,2.236,1266.0,1.0
546.0,33.44,30.837,29.898,29.839,2.053,2.187,2.236,1247.0,1.0
548.0,33.533,30.833,29.894,29.838,2.049,2.187,2.236,1248.0,1.0
550.0,33.51,30.972,29.938,29.85,2.05,2.18,2.234,1213.0,1.0
552.0,33.482,30.968,29.89,29.86,2.051,2.18,2.237,1214.0,1.0
554.0,33.436,30.923,29.961,29.865,2.053,2.183,2.233,1227.0,1.0
556.0,33.343,30.923,29.983,29.87,2.058,2.183,2.232,290.0,1.0
558.0,33.328,30.953,29.968,29.877,2.059,2.181,2.233,290.0,1.0
560.0,32.498,30.953,29.99,29.883,2.101,2.181,2.231,290.0,1.0
562.0,31.224,30.792,30.013,29.875,2.167,2.189,2.23,290.0,1.0
564.0,30.08,30.725,29.898,29.862,2.227,2.193,2.236,290.0,1.0
566.0,29.125,30.706,29.898,29.849,2.277,2.194,2.236,290.0,1.0
568.0,28.311,30.527,29.968,29.822,2.321,2.203,2.233,290.0,1.0
570.0,27.521,30.325,29.946,29.78,2.363,2.214,2.234,290.0,1.0
572.0,26.912,30.147,29.831,29.727,2.396,2.223,2.24,290.0,1.0
574.0,26.35,29.924,29.901,29.66,2.426,2.235,2.236,290.0,1.0
576.0,25.833,29.609,29.786,29.573,2.454,2.252,2.242,290.0,1.0
578.0,25.36,29.365,29.72,29.474,2.48,2.264,2.246,290.0,1.0
